endbulb_class,hsr_num,msr_num,lsr_num,target_spont_rate,hsr_weight,msr_weight,lsr_weight
tonic,25,0,0,7.5,7.00263977051e-09,0,0
tonic,25,0,0,20.0,8.32099914551e-09,0,0
tonic,25,0,0,50.0,1.00391387939e-08,0,0
yang2009,25,0,0,7.5,1.66942596436e-08,0,0
yang2009,25,0,0,20.0,1.95690155029e-08,0,0
yang2009,25,0,0,50.0,2.41153717041e-08,0,0
yang2009mean,25,0,0,7.5,2.3490524292e-08,0,0
yang2009mean,25,0,0,20.0,2.76958465576e-08,0,0
yang2009mean,25,0,0,50.0,3.36742401123e-08,0,0
10%-depressing,25,0,0,7.5,7.20405578613e-09,0,0
10%-depressing,25,0,0,20.0,8.58268737793e-09,0,0
10%-depressing,25,0,0,50.0,1.03275299072e-08,0,0
20%-depressing,25,0,0,7.5,7.49244689941e-09,0,0
20%-depressing,25,0,0,20.0,8.93516540527e-09,0,0
20%-depressing,25,0,0,50.0,1.07273101807e-08,0,0
30%-depressing,25,0,0,7.5,7.86399841309e-09,0,0
30%-depressing,25,0,0,20.0,9.37614440918e-09,0,0
30%-depressing,25,0,0,50.0,1.12880706787e-08,0,0
40%-depressing,25,0,0,7.5,8.41484069824e-09,0,0
40%-depressing,25,0,0,20.0,9.99717712402e-09,0,0
40%-depressing,25,0,0,50.0,1.20952606201e-08,0,0
50%-depressing,25,0,0,7.5,9.25712585449e-09,0,0
50%-depressing,25,0,0,20.0,1.09630584717e-08,0,0
50%-depressing,25,0,0,50.0,1.32923126221e-08,0,0
60%-depressing,25,0,0,7.5,1.07837677002e-08,0,0
60%-depressing,25,0,0,20.0,1.27758026123e-08,0,0
60%-depressing,25,0,0,50.0,1.5442276001e-08,0,0
70%-depressing,25,0,0,7.5,1.41979217529e-08,0,0
70%-depressing,25,0,0,20.0,1.66538238525e-08,0,0
70%-depressing,25,0,0,50.0,2.03426361084e-08,0,0
tonic,30,0,0,7.5,6.38160705566e-09,0,0
tonic,30,0,0,20.0,7.53593444824e-09,0,0
tonic,30,0,0,50.0,9.24491882324e-09,0,0
yang2009,30,0,0,7.5,1.51309967041e-08,0,0
yang2009,30,0,0,20.0,1.79790496826e-08,0,0
yang2009,30,0,0,50.0,2.19608306885e-08,0,0
yang2009mean,30,0,0,7.5,2.13069915771e-08,0,0
yang2009mean,30,0,0,20.0,2.51354217529e-08,0,0
yang2009mean,30,0,0,50.0,3.07872772217e-08,0,0
10%-depressing,30,0,0,7.5,6.58149719238e-09,0,0
10%-depressing,30,0,0,20.0,7.75871276855e-09,0,0
10%-depressing,30,0,0,50.0,9.52262878418e-09,0,0
20%-depressing,30,0,0,7.5,6.85157775879e-09,0,0
20%-depressing,30,0,0,20.0,8.06083679199e-09,0,0
20%-depressing,30,0,0,50.0,9.90028381348e-09,0,0
30%-depressing,30,0,0,7.5,7.1849822998e-09,0,0
30%-depressing,30,0,0,20.0,8.45985412598e-09,0,0
30%-depressing,30,0,0,50.0,1.03923797607e-08,0,0
40%-depressing,30,0,0,7.5,7.68547058105e-09,0,0
40%-depressing,30,0,0,20.0,9.05570983887e-09,0,0
40%-depressing,30,0,0,50.0,1.10973358154e-08,0,0
50%-depressing,30,0,0,7.5,8.37364196777e-09,0,0
50%-depressing,30,0,0,20.0,9.98573303223e-09,0,0
50%-depressing,30,0,0,50.0,1.21929168701e-08,0,0
60%-depressing,30,0,0,7.5,9.69734191895e-09,0,0
60%-depressing,30,0,0,20.0,1.16207122803e-08,0,0
60%-depressing,30,0,0,50.0,1.41803741455e-08,0,0
70%-depressing,30,0,0,7.5,1.27735137939e-08,0,0
70%-depressing,30,0,0,20.0,1.52812957764e-08,0,0
70%-depressing,30,0,0,50.0,1.86473846436e-08,0,0
tonic,35,0,0,7.5,6.01768493652e-09,0,0
tonic,35,0,0,20.0,7.08045959473e-09,0,0
tonic,35,0,0,50.0,8.5277557373e-09,0,0
yang2009,35,0,0,7.5,1.43527984619e-08,0,0
yang2009,35,0,0,20.0,1.66767120361e-08,0,0
yang2009,35,0,0,50.0,2.03426361084e-08,0,0
yang2009mean,35,0,0,7.5,2.02304840088e-08,0,0
yang2009mean,35,0,0,20.0,2.34279632568e-08,0,0
yang2009mean,35,0,0,50.0,2.85251617432e-08,0,0
10%-depressing,35,0,0,7.5,6.22520446777e-09,0,0
10%-depressing,35,0,0,20.0,7.30094909668e-09,0,0
10%-depressing,35,0,0,50.0,8.77265930176e-09,0,0
20%-depressing,35,0,0,7.5,6.46324157715e-09,0,0
20%-depressing,35,0,0,20.0,7.57026672363e-09,0,0
